date,World,Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso
1/21/2020,282,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,314,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,581,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2020,846,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2020,1320,,,,,,,,,3,,,,,,,,,,,,,,,
1/26/2020,2014,,,,,,,,,4,,,,,,,,,,,,,,,
1/27/2020,2798,,,,,,,,,4,,,,,,,,,,,,,,,
1/28/2020,4593,,,,,,,,,5,,,,,,,,,,,,,,,
1/29/2020,6065,,,,,,,,,7,,,,,,,,,,,,,,,
1/30/2020,7818,,,,,,,,,7,,,,,,,,,,,,,,,
1/31/2020,9826,,,,,,,,,9,,,,,,,,,,,,,,,
2/1/2020,11953,,,,,,,,,12,,,,,,,,,,,,,,,
2/2/2020,14557,,,,,,,,,12,,,,,,,,,,,,,,,
2/3/2020,17391,,,,,,,,,12,,,,,,,,,,,,,,,
2/4/2020,20630,,,,,,,,,12,,,,,,,,,,,,,,,
2/5/2020,24544,,,,,,,,,13,,,,,,,1,,,,,,,,
2/6/2020,28276,,,,,,,,,14,,,,,,,1,,,,,,,,
2/7/2020,31481,,,,,,,,,15,,,,,,,1,,,,,,,,
2/8/2020,34886,,,,,,,,,15,,,,,,,1,,,,,,,,
2/9/2020,37558,,,,,,,,,15,,,,,,,1,,,,,,,,
2/10/2020,40554,,,,,,,,,15,,,,,,,1,,,,,,,,
2/11/2020,43103,,,,,,,,,15,,,,,,,1,,,,,,,,
2/12/2020,45171,,,,,,,,,15,,,,,,,1,,,,,,,,
2/13/2020,46997,,,,,,,,,15,,,,,,,1,,,,,,,,
2/14/2020,49053,,,,,,,,,15,,,,,,,1,,,,,,,,
2/15/2020,50580,,,,,,,,,15,,,,,,,1,,,,,,,,
2/16/2020,51857,,,,,,,,,15,,,,,,,1,,,,,,,,
2/17/2020,71429,,,,,,,,,15,,,,,,,1,,,,,,,,
2/18/2020,73332,,,,,,,,,15,,,,,,,1,,,,,,,,
2/19/2020,75204,,,,,,,,,15,,,,,,,1,,,,,,,,
2/20/2020,75748,,,,,,,,,15,,,,,,,1,,,,,,,,
2/21/2020,76769,,,,,,,,,17,,,,,,,1,,,,,,,,
2/22/2020,77794,,,,,,,,,21,,,,,,,1,,,,,,,,
2/23/2020,78811,,,,,,,,,22,,,,,,,1,,,,,,,,
2/24/2020,79331,,,,,,,,,22,,,,,,,1,,,,,,,,
2/25/2020,80239,1,,,,,,,,22,,,,8,,,1,,,,,,,,
2/26/2020,81109,1,,1,,,,,,23,2,,,26,,,1,,,,,,,,
2/27/2020,82294,1,,1,,,,,,23,2,,,33,,,1,,,,,1,,,
2/28/2020,83652,1,,1,,,,,,23,4,,,33,,1,1,,,,,1,,,
2/29/2020,85403,1,,1,,,,,,24,5,,,38,,1,1,,,,,1,,,
3/1/2020,87137,1,,1,,,,,,25,10,3,,40,,1,1,,,,,2,,,
3/2/2020,88948,1,,1,,,,1,,27,10,3,,47,,1,1,,,,,2,,,
3/3/2020,90869,1,,5,1,,,1,,33,18,3,,49,,1,8,,,,,2,,,
3/4/2020,93090,1,,5,1,,1,1,,43,24,3,,49,,1,8,,,,,2,,,
3/5/2020,95324,1,,12,1,,1,1,,57,37,3,,49,,6,23,,,,2,3,,,
3/6/2020,98192,1,,12,1,,1,1,,57,47,3,,49,,6,50,,1,,2,7,,,
3/7/2020,101927,1,,17,1,,2,1,,62,66,9,,49,,6,109,,1,,2,13,,,
3/8/2020,105592,4,,17,1,,9,1,,74,104,9,,56,,6,169,,1,,2,19,,2,
3/9/2020,109577,4,2,20,1,,12,1,,77,112,9,,79,3,6,200,,1,,2,25,,4,
3/10/2020,113702,4,2,20,1,,12,1,,92,131,9,,109,3,6,239,,1,,2,25,1,4,
3/11/2020,118319,4,10,20,1,,17,1,,112,182,9,,110,3,9,267,,1,2,4,34,1,6,2
3/12/2020,125260,7,10,25,1,,19,1,,122,302,9,,189,3,12,314,,1,2,4,52,12,7,2
3/13/2020,132758,7,23,25,1,,31,1,,140,361,11,,195,3,12,314,,1,3,4,77,12,7,2
3/14/2020,142534,7,33,26,2,1,34,8,,197,504,11,,210,3,21,599,,1,3,11,98,25,7,2
3/15/2020,153517,10,38,37,2,1,45,8,,249,800,19,,211,3,21,689,,1,3,18,121,40,43,3
3/16/2020,167506,16,42,49,2,1,56,26,,298,959,19,,221,5,36,1085,,1,11,18,200,50,51,3
3/17/2020,179112,21,51,60,14,1,65,52,2,375,1132,19,1,229,8,36,1085,1,1,11,19,234,50,67,15
