date,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Ethiopia,Faeroe Islands,Finland,France,French Guiana,French Polynesia
1/21/2020,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,
1/24/2020,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,
1/25/2020,,,,,,,1297,,,,,,,,,,,,,,,,,,,,3,,
1/26/2020,,,,,,,1985,,,,,,,,,,,,,,,,,,,,3,,
1/27/2020,,,1,,,,2761,,,,,,,,,,,,,,,,,,,,3,,
1/28/2020,1,,2,,,,4537,,,,,,,,,,,,,,,,,,,,3,,
1/29/2020,1,,3,,,,5997,,,,,,,,,,,,,,,,,,,,4,,
1/30/2020,1,,3,,,,7736,,,,,,,,,,,,,,,,,,,1,5,,
1/31/2020,1,,3,,,,9720,,,,,,,,,,,,,,,,,,,1,6,,
2/1/2020,1,,4,,,,11821,,,,,,,,,,,,,,,,,,,1,6,,
2/2/2020,1,,4,,,,14411,,,,,,,,,,,,,,,,,,,1,6,,
2/3/2020,1,,4,,,,17238,,,,,,,,,,,,,,,,,,,1,6,,
2/4/2020,1,,4,,,,20471,,,,,,,,,,,,,,,,,,,1,6,,
2/5/2020,1,,5,,,,24363,,,,,,,,,,,,,,,,,,,1,6,,
2/6/2020,1,,5,,,,28060,,,,,,,,,,,,,,,,,,,1,6,,
2/7/2020,1,,7,,,,31211,,,,,,,,,,,,,,,,,,,1,6,,
2/8/2020,1,,7,,,,34598,,,,,,,,,,,,,,,,,,,1,6,,
2/9/2020,1,,7,,,,37251,,,,,,,,,,,,,,,,,,,1,11,,
2/10/2020,1,,7,,,,40235,,,,,,,,,,,,,,,,,,,1,11,,
2/11/2020,1,,7,,,,42708,,,,,,,,,,,,,,,,,,,1,11,,
2/12/2020,1,,7,,,,44730,,,,,,,,,,,,,,,,,,,1,11,,
2/13/2020,1,,7,,,,46550,,,,,,,,,,,,,,,,,,,1,11,,
2/14/2020,1,,7,,,,48548,,,,,,,,,,,,,,,,,,,1,11,,
2/15/2020,1,,7,,,,50054,,,,,,,,,,,,,,1,,,,,1,11,,
2/16/2020,1,,7,,,,51174,,,,,,,,,,,,,,1,,,,,1,12,,
2/17/2020,1,,7,,,,70635,,,,,,,,,,,,,,1,,,,,1,12,,
2/18/2020,1,,8,,,,72528,,,,,,,,,,,,,,1,,,,,1,12,,
2/19/2020,1,,8,,,,74280,,,,,,,,,,,,,,1,,,,,1,12,,
2/20/2020,1,,8,,,,74675,,,,,,,,,,,,,,1,,,,,1,12,,
2/21/2020,1,,8,,,,75569,,,,,,,,,,,,,,1,,,,,1,12,,
2/22/2020,1,,8,,,,76392,,,,,,,,,,,,,,1,,,,,1,12,,
2/23/2020,1,,9,,,,77042,,,,,,,,,,,,,,1,,,,,1,12,,
2/24/2020,1,,9,,,,77262,,,,,,,,,,,,,,1,,,,,1,12,,
2/25/2020,1,,10,,,,77780,,,,,,,,,,,,,,1,,,,,1,12,,
2/26/2020,1,,10,,,,78191,,,,,2,,,,,,,,,1,,,,,1,12,,
2/27/2020,1,,11,,,,78630,,,,,3,,,,,,1,,,1,,1,,,2,18,,
2/28/2020,1,,11,,,,78961,,,,,3,,,,,,1,,,1,,1,,,2,38,,
2/29/2020,1,,14,,,,79394,,,,,5,,,,,,2,,,1,,1,,,2,57,,
3/1/2020,1,,19,,,,79968,,,,,7,,,,,,3,,1,1,,1,,,2,100,,
3/2/2020,1,,19,,,,80174,,,,,7,,,,3,,4,1,1,2,,1,,,6,100,,
3/3/2020,1,,27,,,,80304,,,,,8,,,,3,,5,1,6,2,,1,,,7,191,,
3/4/2020,1,,30,,,1,80422,,,,,9,,,,5,,8,1,7,2,,2,,,7,212,,
3/5/2020,1,,30,,,1,80565,,,,,9,,,,5,,10,1,7,2,,2,,,7,282,,
3/6/2020,1,1,45,,,1,80711,,,,,10,,,,12,,18,1,13,3,,3,,,12,420,,
3/7/2020,1,2,51,,,5,80813,1,,,,11,,,,12,,23,1,14,3,,10,,,19,613,,
3/8/2020,2,2,57,,,5,80859,1,,5,,11,,,,26,,31,1,14,48,,10,,1,19,706,5,
3/9/2020,2,2,62,,,10,80904,1,,9,,11,,,,32,,36,1,15,55,,10,,2,30,1116,5,
3/10/2020,2,2,77,,,13,80924,3,,9,,12,,,2,38,,90,5,15,59,,10,,2,40,1402,5,
3/11/2020,3,2,93,,,17,80955,3,,13,,16,,,2,61,1,262,5,15,59,,13,,2,40,1774,5,
3/12/2020,3,2,93,,,23,80981,9,,13,1,16,,,6,94,1,615,5,17,67,,13,,2,40,2269,5,1
3/13/2020,5,2,138,,,33,80991,9,,22,1,16,3,,6,116,1,674,5,17,67,,13,,2,109,2860,6,1
3/14/2020,7,2,176,1,,43,81021,16,,23,1,27,4,,14,150,2,801,5,23,93,,79,1,3,109,3640,6,1
3/15/2020,7,3,244,1,1,61,81048,24,1,23,3,37,4,2,21,214,2,827,5,23,93,1,79,1,9,210,4469,7,3
3/16/2020,12,3,304,1,1,75,81077,24,1,23,3,49,4,2,33,298,2,898,5,37,126,1,205,1,11,267,5380,7,3
3/17/2020,24,5,424,1,1,156,81116,45,1,41,6,56,5,3,33,383,3,960,21,58,166,1,205,5,47,272,6573,7,3
