date,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy
1/21/2020,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,,,,,,,,,,,,,,,,,,,,,,,
1/24/2020,,,,,,,,,,,,,,,,,,,,,,,
1/25/2020,,,,,,,,,,,,,,,,,,,,,,,
1/26/2020,,,,,,,,,,,,,,,,,,,,,,,
1/27/2020,,,,,,,,,,,,,,,,,,,,,,,
1/28/2020,,,1,,,,,,,,,,,,,,,,,,,,
1/29/2020,,,4,,,,,,,,,,,,,,,,,,,,
1/30/2020,,,4,,,,,,,,,,,,,1,,,,,,,
1/31/2020,,,5,,,,,,,,,,,,,1,,,,,,,2
2/1/2020,,,7,,,,,,,,,,,,,1,,,,,,,2
2/2/2020,,,8,,,,,,,,,,,,,2,,,,,,,2
2/3/2020,,,10,,,,,,,,,,,,,3,,,,,,,2
2/4/2020,,,12,,,,,,,,,,,,,3,,,,,,,2
2/5/2020,,,12,,,,,,,,,,,,,3,,,,,,,2
2/6/2020,,,12,,,,,,,,,,,,,3,,20,,,,,2
2/7/2020,,,13,,,,,,,,,,,,,3,,61,,,,,3
2/8/2020,,,14,,,,,,,,,,,,,3,,64,,,,,3
2/9/2020,,,14,,,,,,,,,,,,,3,,64,,,,,3
2/10/2020,,,14,,,,,,,,,,,,,3,,70,,,,,3
2/11/2020,,,14,,,,,,,,,,,,,3,,135,,,,,3
2/12/2020,,,16,,,,,,,,,,,,,3,,175,,,,,3
2/13/2020,,,16,,,,,,,,,,,,,3,,174,,,,,3
2/14/2020,,,16,,,,,,,,,,,,,3,,218,,,,,3
2/15/2020,,,16,,,,,,,,,,,,,3,,218,,,,,3
2/16/2020,,,16,,,,,,,,,,,,,3,,355,,,,,3
2/17/2020,,,16,,,,,,,,,,,,,3,,454,,,,,3
2/18/2020,,,16,,,,,,,,,,,,,3,,454,,,,,3
2/19/2020,,,16,,,,,,,,,,,,,3,,542,,,,,3
2/20/2020,,,16,,,,,,,,,,,,,3,,621,2,,,,3
2/21/2020,,,16,,,,,,,,,,,,,3,,634,5,,,,3
2/22/2020,,,16,,,,,,,,,,,,,3,,634,18,,,1,9
2/23/2020,,,16,,,,,,,,,,,,,3,,634,28,,,1,76
2/24/2020,,,16,,,,,,,,,,,,,3,,695,43,,,1,124
2/25/2020,,,16,,,,,,,,,,,,,3,,691,61,1,,2,229
2/26/2020,,,18,,,,,,,,,,,,,3,,691,95,5,,2,322
2/27/2020,,1,21,,,1,,,,,,,,,,3,,705,141,6,,2,400
2/28/2020,,1,26,,,3,,,,,,,,,,3,,705,245,7,,3,650
2/29/2020,,2,57,,,3,,,,,,,,,,3,,705,388,8,,5,888
3/1/2020,,3,57,,,3,,,,,,,,,,3,,705,593,13,1,7,1128
3/2/2020,,3,129,,,7,,,,,,,,,2,3,2,706,978,19,1,7,1689
3/3/2020,,3,157,,,7,,,,,,,,,9,5,2,706,1501,26,1,10,2036
3/4/2020,,3,196,,,7,,,,,,,,,16,6,2,706,2336,31,2,12,2502
3/5/2020,,3,262,,1,9,,,,,,,,2,26,29,2,706,2922,36,2,15,3089
3/6/2020,,9,534,,1,32,,,,,,,,2,26,30,2,696,3513,36,14,15,3858
3/7/2020,,9,639,,1,32,,,,,,,,5,45,31,2,696,4747,44,18,19,4636
3/8/2020,,12,795,,1,66,,,,,,,,7,45,34,6,696,5823,54,19,25,5883
3/9/2020,,13,1112,,1,73,,,,,,,,9,55,43,6,696,6566,60,21,39,7375
3/10/2020,,15,1139,,1,73,,,,1,,,,9,55,44,19,696,7161,61,24,39,9172
3/11/2020,,23,1296,,1,89,,,,1,,,,13,61,60,27,696,8042,61,34,75,10149
3/12/2020,,23,1567,,1,98,,,,1,,,2,13,61,73,34,696,9000,70,43,75,12462
3/13/2020,,25,2369,,1,98,,,,1,,1,2,16,61,74,34,696,10075,70,70,75,15113
3/14/2020,1,25,3062,1,1,98,1,,,1,1,1,2,19,61,82,69,697,11364,93,90,100,17660
3/15/2020,1,30,3795,2,1,228,3,,,1,1,1,2,32,138,107,117,697,12729,93,129,178,21157
3/16/2020,1,33,4838,2,1,331,6,,1,1,1,4,2,39,138,114,117,712,14991,124,169,200,24747
3/17/2020,1,33,6012,6,3,331,18,3,1,1,1,4,8,50,199,137,172,712,14991,124,223,250,27980
