date,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco
1/21/2020,,1,,,,,,,,,,,,,,,,,,,,,,,
1/22/2020,,1,,,,,,,,,,,,,,,,,,,,,,,
1/23/2020,,1,,,,,,,,,,,,,,,,,,,,,,,
1/24/2020,,1,,,,,,,,,,,,,,,,,,,,,,,
1/25/2020,,3,,,,,,,,,,,,,,,,,,,,,,,
1/26/2020,,3,,,,,,,,,,,,,3,,,,,,,,,,
1/27/2020,,4,,,,,,,,,,,,,4,,,,,,,,,,
1/28/2020,,6,,,,,,,,,,,,,4,,,,,,,,,,
1/29/2020,,7,,,,,,,,,,,,,4,,,,,,,,,,
1/30/2020,,11,,,,,,,,,,,,,7,,,,,,,,,,
1/31/2020,,14,,,,,,,,,,,,,8,,,,,,,,,,
2/1/2020,,17,,,,,,,,,,,,,8,,,,,,,,,,
2/2/2020,,20,,,,,,,,,,,,,8,,,,,,,,,,
2/3/2020,,20,,,,,,,,,,,,,8,,,,,,,,,,
2/4/2020,,20,,,,,,,,,,,,,10,,,,,,,,,,
2/5/2020,,23,,,,,,,,,,,,,10,,,,,,,,,,
2/6/2020,,25,,,,,,,,,,,,,12,,,,,,,,,,
2/7/2020,,25,,,,,,,,,,,,,14,,,,,,,,,,
2/8/2020,,25,,,,,,,,,,,,,15,,,,,,,,,,
2/9/2020,,26,,,,,,,,,,,,,17,,,,,,,,,,
2/10/2020,,26,,,,,,,,,,,,,18,,,,,,,,,,
2/11/2020,,26,,,,,,,,,,,,,18,,,,,,,,,,
2/12/2020,,28,,,,,,,,,,,,,18,,,,,,,,,,
2/13/2020,,29,,,,,,,,,,,,,18,,,,,,,,,,
2/14/2020,,33,,,,,,,,,,,,,19,,,,,,,,,,
2/15/2020,,41,,,,,,,,,,,,,21,,,,,,,,,,
2/16/2020,,53,,,,,,,,,,,,,22,,,,,,,,,,
2/17/2020,,59,,,,,,,,,,,,,22,,,,,,,,,,
2/18/2020,,65,,,,,,,,,,,,,22,,,,,,,,,,
2/19/2020,,73,,,,,,,,,,,,,22,,,,,,,,,,
2/20/2020,,85,,,,,,,,,,,,,22,,,,,,,,,,
2/21/2020,,93,,,,,,,,,,,,,22,,,,,,,,,,
2/22/2020,,105,,,,,,,1,,,,,,22,,,,,,,,,,
2/23/2020,,132,,,,,,,1,,,,,,22,,,,,,,,,,
2/24/2020,,144,,,,,3,,1,,,,,,22,,,,,,,,,,
2/25/2020,,157,,,,,8,,1,,,,,,22,,,,,,,,,,
2/26/2020,,164,,,,,12,,1,,,,,,22,,,,,,,,,,
2/27/2020,,186,,,,,43,,2,,,,,1,22,,,,,,,,,,
2/28/2020,,210,,,,,43,,2,,,1,,1,24,,,,,,,,,,
2/29/2020,,230,,,,,45,,2,,,1,,1,24,,,,,,2,,,,
3/1/2020,,239,,,,,45,,2,,,1,,1,24,,,,,,2,,1,,
3/2/2020,,254,,,,,56,,10,,,1,1,1,24,,,,,,5,,1,,
3/3/2020,,268,,1,,,56,1,13,,,1,1,1,29,,,,,,5,,1,,1
3/4/2020,,284,,1,,,56,1,13,,,1,1,1,50,,,,,,5,,1,,1
3/5/2020,,317,,1,,,58,1,13,,1,1,1,1,50,,,,,,5,,1,,2
3/6/2020,,349,,1,,,58,1,16,,1,1,1,1,55,,,,,,5,,1,,2
3/7/2020,,408,,1,,,58,1,22,,1,1,2,3,83,,,,,,5,,1,,2
3/8/2020,,455,,1,,,62,1,28,,1,1,2,3,93,2,3,2,,,7,1,1,,2
3/9/2020,,488,,1,,,64,3,32,,1,1,2,3,93,4,3,2,,,7,1,1,,2
3/10/2020,,514,,1,,,65,6,41,,1,1,5,7,117,4,4,2,,,7,1,1,1,2
3/11/2020,1,568,,1,,,69,8,41,,1,1,5,7,129,8,4,3,,,7,3,1,1,3
3/12/2020,1,620,,1,,,80,16,66,,1,3,17,7,129,8,6,3,,,11,4,1,1,5
3/13/2020,1,675,2,1,,,80,16,66,,4,3,17,7,129,8,9,4,,,12,4,1,1,6
3/14/2020,7,716,2,1,,1,100,16,77,,4,6,38,9,197,9,12,6,,,26,8,2,1,7
3/15/2020,8,780,2,1,6,1,112,30,93,,4,9,38,13,238,10,12,10,1,1,41,12,2,1,18
3/16/2020,10,814,2,6,6,1,112,31,99,,7,14,38,13,553,13,21,15,1,1,53,23,9,1,28
3/17/2020,10,829,2,35,6,3,130,36,109,1,7,17,81,19,553,13,30,16,1,1,53,29,9,4,38
