date,Saint Barthlemy,Saint Lucia,Saint Martin (French part),Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey
1/21/2020,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,
1/22/2020,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,
1/23/2020,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,
1/24/2020,,,,,,,,,,1,,,,,2,,,,,,,,,4,,,,
1/25/2020,,,,,,,,,,3,,,,,2,,,,,,,,,4,,,,
1/26/2020,,,,,,,,,,4,,,,,2,,,,,,,,,5,,,,
1/27/2020,,,,,,,,,,4,,,,,4,,,,,,,,,5,,,,
1/28/2020,,,,,,,,,,7,,,,,4,,1,,,,,,,14,,,,
1/29/2020,,,,,,,,,,7,,,,,4,,1,,,,,,,14,,,,
1/30/2020,,,,,,,,,,10,,,,,4,,1,,,,,,,14,,,,
1/31/2020,,,,,,,,,,13,,,,,11,,1,,,,,,,14,,,,
2/1/2020,,,,,,,,,,16,,,,,12,1,1,,,,1,,,19,,,,
2/2/2020,,,,,,,,,,18,,,,,15,1,1,,,,1,,,19,,,,
2/3/2020,,,,,,,,,,18,,,,,15,1,1,,,,1,,,19,,,,
2/4/2020,,,,,,,,,,18,,,,,16,1,1,,,,1,,,19,,,,
2/5/2020,,,,,,,,,,24,,,,,18,1,1,,,,1,,,25,,,,
2/6/2020,,,,,,,,,,28,,,,,23,1,1,,,,1,,,25,,,,
2/7/2020,,,,,,,,,,30,,,,,24,1,1,,,,1,,,25,,,,
2/8/2020,,,,,,,,,,33,,,,,24,1,1,,,,1,,,32,,,,
2/9/2020,,,,,,,,,,40,,,,,27,1,1,,,,1,,,32,,,,
2/10/2020,,,,,,,,,,43,,,,,27,2,1,,,,1,,,32,,,,
2/11/2020,,,,,,,,,,45,,,,,28,2,1,,,,1,,,33,,,,
2/12/2020,,,,,,,,,,47,,,,,28,2,1,,,,1,,,33,,,,
2/13/2020,,,,,,,,,,50,,,,,28,2,1,,,,1,,,33,,,,
2/14/2020,,,,,,,,,,58,,,,,28,2,1,,,,1,,,33,,,,
2/15/2020,,,,,,,,,,67,,,,,28,2,1,,,,1,,,34,,,,
2/16/2020,,,,,,,,,,72,,,,,29,2,1,,,,1,,,34,,,,
2/17/2020,,,,,,,,,,75,,,,,30,2,1,,,,1,,,35,,,,
2/18/2020,,,,,,,,,,77,,,,,31,2,1,,,,1,,,35,,,,
2/19/2020,,,,,,,,,,81,,,,,51,2,1,,,,1,,,35,,,,
2/20/2020,,,,,,,,,,84,,,,,104,2,1,,,,1,,,35,,,,
2/21/2020,,,,,,,,,,85,,,,,204,2,1,,,,1,,,35,,,,
2/22/2020,,,,,,,,,,86,,,,,346,2,1,,,,1,,,35,,,,
2/23/2020,,,,,,,,,,89,,,,,602,2,1,,,,1,,,35,,,,
2/24/2020,,,,,,,,,,89,,,,,763,2,1,,,,1,,,35,,,,
2/25/2020,,,,,,,,,,90,,,,,977,2,1,,,,1,,,37,,,,
2/26/2020,,,,,,,,,,91,,,,,1261,2,1,,,,1,1,,40,,,,
2/27/2020,,,,,,,,,,93,,,,,1766,12,1,,,,2,1,,40,,,,
2/28/2020,,,,,,,,,,96,,,,,2337,25,1,,,,7,6,,40,,,,
2/29/2020,,,,,1,,,,,98,,,,,3150,32,1,,,,12,10,,42,,,,
3/1/2020,,,,,1,,,,,102,,,,,3736,45,1,,,,13,18,,42,,,,
3/2/2020,,,,,1,,,,,106,,,,,4212,45,1,,,,14,24,,42,,,,
3/3/2020,,,,,8,1,1,,,108,,,,,4812,114,1,,,,15,30,,43,,,1,
3/4/2020,,,,,8,1,1,,,110,,,,,5328,151,1,,,,24,37,,43,,,1,
3/5/2020,1,,2,,16,2,4,,,110,,1,,,5766,198,1,,,,35,56,,47,,,1,
3/6/2020,1,,2,,21,8,4,1,,117,,6,,1,6284,257,1,,,,61,86,,47,,,1,
3/7/2020,1,,2,,24,8,4,1,,130,1,9,,1,6767,374,1,,,,137,209,,48,1,,1,
3/8/2020,1,,2,,27,11,4,1,,138,3,12,,2,7134,430,1,,,,161,264,,50,1,,1,
3/9/2020,1,,2,,37,15,4,1,,150,5,16,,3,7382,589,1,,,,203,332,,50,1,,2,
3/10/2020,1,,2,,49,15,4,1,,160,7,23,,7,7513,1024,1,,,,248,332,,53,1,,2,
3/11/2020,1,,2,,63,20,4,12,,166,7,31,,7,7755,1639,1,,,,326,491,,59,1,,6,
3/12/2020,1,,2,,63,21,4,19,,178,10,57,,13,7869,2140,2,,,,461,645,,70,1,,6,1
3/13/2020,1,,2,1,63,21,10,19,,187,21,57,,17,7979,2965,3,,,,620,858,,75,1,,7,1
3/14/2020,1,,2,1,66,62,10,31,,200,30,141,,17,8086,4231,6,1,,,775,1125,,75,1,1,16,5
3/15/2020,1,,2,1,92,103,21,41,,212,44,141,,38,8162,5753,11,1,,1,924,1359,,75,1,1,16,5
3/16/2020,3,1,2,1,92,103,26,41,2,243,61,219,,51,8236,7753,19,1,1,1,992,2200,,114,1,2,18,5
3/17/2020,3,2,2,1,102,133,27,70,4,243,72,253,1,62,8320,9191,29,2,1,1,1059,2200,1,147,1,5,20,47
