date,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Uruguay,Uzbekistan,Vatican,Venezuela,Vietnam
1/21/2020,,,,,,,,,,
1/22/2020,,,,,,,,,,
1/23/2020,,,,1,,,,,,
1/24/2020,,,,1,,,,,,2
1/25/2020,,,,2,,,,,,2
1/26/2020,,,,2,,,,,,2
1/27/2020,,,,5,,,,,,2
1/28/2020,,,,5,,,,,,2
1/29/2020,,4,,5,,,,,,2
1/30/2020,,4,,5,,,,,,2
1/31/2020,,4,,6,,,,,,5
2/1/2020,,4,2,7,,,,,,6
2/2/2020,,5,2,8,,,,,,7
2/3/2020,,5,2,11,,,,,,8
2/4/2020,,5,2,11,,,,,,9
2/5/2020,,5,2,11,,,,,,10
2/6/2020,,5,2,12,,,,,,10
2/7/2020,,5,3,12,,,,,,12
2/8/2020,,7,3,12,,,,,,13
2/9/2020,,7,3,12,,,,,,14
2/10/2020,,7,4,12,,,,,,14
2/11/2020,,8,8,13,,,,,,15
2/12/2020,,8,8,13,,,,,,15
2/13/2020,,8,9,14,,,,,,16
2/14/2020,,8,9,15,,,,,,16
2/15/2020,,8,9,15,,,,,,16
2/16/2020,,8,9,15,,,,,,16
2/17/2020,,9,9,15,,,,,,16
2/18/2020,,9,9,15,,,,,,16
2/19/2020,,9,9,15,,,,,,16
2/20/2020,,9,9,15,,,,,,16
2/21/2020,,9,9,15,,,,,,16
2/22/2020,,11,9,35,,,,,,16
2/23/2020,,13,9,35,,,,,,16
2/24/2020,,13,9,35,,,,,,16
2/25/2020,,13,13,53,,,,,,16
2/26/2020,,13,13,53,,,,,,16
2/27/2020,,13,13,59,,,,,,16
2/28/2020,,19,16,59,,,,,,16
2/29/2020,,19,20,62,,,,,,16
3/1/2020,,19,23,62,,,,,,16
3/2/2020,,21,36,62,,,,,,16
3/3/2020,,21,39,64,,,,,,16
3/4/2020,1,27,51,108,,,,,,16
3/5/2020,1,27,89,129,,,,,,16
3/6/2020,1,27,118,148,,,,,,16
3/7/2020,1,45,167,213,,,,1,,17
3/8/2020,1,45,210,213,,,,1,,21
3/9/2020,1,45,277,213,,,,1,,30
3/10/2020,1,59,323,472,,,,1,,31
3/11/2020,1,74,373,696,,,,1,,35
3/12/2020,1,74,460,987,,,,1,,39
3/13/2020,3,85,594,1264,,,,1,,39
3/14/2020,3,85,802,1678,,,,1,2,48
3/15/2020,3,85,1144,1678,,,,1,2,53
3/16/2020,3,98,1395,1678,,4,4,1,2,57
3/17/2020,7,98,1547,3503,2,6,4,1,33,61
